cluster,datetime,motion,sound,temp,vibescore
0,2014-04-15 00:13:18,0.09,0.25,23.81,0.01
0,2014-04-15 00:19:32,0.12,0.11,22.81,0.07
0,2014-04-15 00:20:18,0.3,0.14,21.33,0.2
0,2014-04-15 00:43:32,0.26,0.2,20.18,0.18
3,2014-04-18 17:58:54,0.1,0.89,21.48,0.68
3,2014-04-18 18:04:14,0.01,0.84,21.32,0.68
3,2014-04-18 18:05:37,0.57,1.12,21.69,0.67
2,2014-04-18 18:06:36,0.53,0.0,21.69,0.58
2,2014-04-18 18:08:28,0.21,0.11,21.81,0.58
2,2014-04-18 18:09:02,0.3,0.11,21.75,0.57
2,2014-04-18 18:10:05,0.52,0.02,21.78,0.59
2,2014-04-18 18:10:05,0.52,0.02,21.78,0.59
3,2014-04-18 18:10:32,0.32,0.1,21.82,0.63
3,2014-04-18 18:11:27,0.49,0.08,21.81,0.63
3,2014-04-18 18:14:28,0.53,0.49,21.81,0.69
3,2014-04-18 18:15:26,0.55,0.24,21.81,0.69
2,2014-04-18 18:17:48,0.24,0.64,21.87,0.58
3,2014-04-18 18:22:38,0.41,0.61,22.03,0.65
3,2014-04-18 18:27:23,0.0,0.0,24.77,0.68
3,2014-04-18 18:29:58,0.5,0.59,22.56,0.68
3,2014-04-18 18:31:22,0.46,0.24,22.62,0.7
3,2014-04-18 18:32:57,0.57,0.66,22.7,0.7
3,2014-04-18 18:34:29,0.19,3.96,22.81,0.7
3,2014-04-18 18:36:43,0.43,0.24,22.95,0.7
3,2014-04-18 18:42:40,0.58,0.27,24.17,0.71
3,2014-04-18 18:45:53,0.54,1.05,24.69,0.73
2,2014-04-18 19:06:29,0.3,0.03,25.88,0.5
2,2014-04-18 19:09:39,0.26,0.0,25.77,0.45
2,2014-04-18 19:10:37,0.59,0.0,25.72,0.45
2,2014-04-18 19:20:30,0.42,0.0,25.67,0.42
2,2014-04-18 19:21:10,0.83,0.18,25.64,0.42
2,2014-04-18 19:25:04,0.12,0.01,25.71,0.45
2,,0.37,1.4,23.73,0.5
1,,0.42,0.56,18.47,0.31
1,,0.25,0.0,22.47,0.3
4,,0.23,0.0,22.72,0.86
3,,0.22,0.0,21.49,0.63
2,,0.29,0.73,22.67,0.47
2,,0.49,0.58,25.73,0.54
2,,0.61,1.08,23.37,0.49
1,,0.43,0.51,21.61,0.24
4,,0.37,0.25,18.91,0.82
