datetime,temp,sound,motion,vibescore
"2014-04-15 00:13:18","23.81","0.25","0.09","0.01"
"2014-04-15 00:19:32","22.81","0.11","0.12","0.07"
"2014-04-15 00:20:18","21.33","0.14","0.30","0.20"
"2014-04-15 00:43:32","20.18","0.20","0.26","0.18"
"2014-04-18 17:58:54","21.48","0.89","0.1","0.68"
"2014-04-18 18:04:14","21.32","0.84","0.01","0.68"
"2014-04-18 18:05:37","21.69","1.12","0.57","0.67"
"2014-04-18 18:06:36","21.69","0","0.53","0.58"
"2014-04-18 18:08:28","21.81","0.11","0.21","0.58"
"2014-04-18 18:09:02","21.75","0.11","0.3","0.57"
"2014-04-18 18:10:05","21.78","0.02","0.52","0.59"
"2014-04-18 18:10:05","21.78","0.02","0.52","0.59"
"2014-04-18 18:10:32","21.82","0.1","0.32","0.63"
"2014-04-18 18:11:27","21.81","0.08","0.49","0.63"
"2014-04-18 18:14:28","21.81","0.49","0.53","0.69"
"2014-04-18 18:15:26","21.81","0.24","0.55","0.69"
"2014-04-18 18:17:48","21.87","0.64","0.24","0.58"
"2014-04-18 18:22:38","22.03","0.61","0.41","0.65"
"2014-04-18 18:27:23","24.77","0","0","0.68"
"2014-04-18 18:29:58","22.56","0.59","0.5","0.68"
"2014-04-18 18:31:22","22.62","0.24","0.46","0.7"
"2014-04-18 18:32:57","22.7","0.66","0.57","0.7"
"2014-04-18 18:34:29","22.81","3.96","0.19","0.7"
"2014-04-18 18:36:43","22.95","0.24","0.43","0.7"
"2014-04-18 18:42:40","24.17","0.27","0.58","0.71"
"2014-04-18 18:45:53","24.69","1.05","0.54","0.73"
"2014-04-18 19:06:29","25.88","0.03","0.3","0.5"
"2014-04-18 19:09:39","25.77","0","0.26","0.45"
"2014-04-18 19:10:37","25.72","0","0.59","0.45"
"2014-04-18 19:20:30","25.67","0","0.42","0.42"
"2014-04-18 19:21:10","25.64","0.18","0.83","0.42"
"2014-04-18 19:25:04","25.71","0.01","0.12","0.45"
